City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Windspeed (mph)
creazzo,45.532,11.4785,30.14600000000005,36,100,5.18
mehamn,71.0357,27.8492,16.01600000000001,93,67,2.91
butaritari,3.0707,172.7902,81.30200000000008,83,2,5.06
hofn,64.2539,-15.2082,40.46000000000008,74,100,9.08
horasan,40.0458,42.1728,24.260000000000083,90,56,0.55
aykhal,66,111.5,-20.03799999999994,79,86,0.98
rikitea,-23.1203,-134.9692,80.13200000000002,74,13,4.93
khandyga,62.6667,135.6,9.914000000000033,90,60,0.87
gillette,44.2911,-105.5022,-6.951999999999977,84,90,3.6
tsihombe,NA,NA,NA,NA,NA,NA
awjilah,29.1081,21.2869,49.92800000000007,82,0,2.27
lorengau,-2.0226,147.2712,83.71400000000003,76,100,3.52
trairi,-3.2778,-39.2689,78.71000000000008,85,39,3.37
kapaa,22.0752,-159.319,77.0,57,1,3.6
bredasdorp,-34.5322,20.0403,69.8,83,2,2.06
ambovombe,-25.1667,46.0833,75.32600000000009,80,86,6.67
kodiak,57.79,-152.4072,35.6,75,90,6.69
tuktoyaktuk,69.4541,-133.0374,-7.599999999999952,77,75,2.06
avarua,-21.2078,-159.775,84.2,65,20,2.06
hobart,-42.8794,147.3294,69.71000000000008,55,75,4.63
barrow,71.2906,-156.7887,-9.399999999999949,70,90,3.09
kisangani,0.5167,25.2,71.99600000000005,78,79,0.8
touros,-5.1989,-35.4608,78.8,83,40,2.06
cherskiy,68.75,161.3,-20.469999999999956,81,0,0.26
thompson,55.7435,-97.8558,-30.999999999999957,68,1,0.76
ushuaia,-54.8,-68.3,57.2,51,75,5.66
puerto ayora,-0.7393,-90.3518,75.99199999999999,95,92,0.45
the valley,18.217,-63.0578,76.73000000000005,78,40,6.17
lolua,NA,NA,NA,NA,NA,NA
sembe,1.6481,14.5806,74.31800000000008,78,70,2.07
port elizabeth,-33.918,25.5701,75.2,94,90,5.66
mataura,-46.1927,168.8643,71.99600000000005,59,18,1.79
micheweni,-4.9667,39.8333,80.63600000000007,79,98,4.4
